Zone,Zone_Name,District_Code,District,Block_Code,Block_Name,PC_No,PC_Name,AC_No,AC_Name,Gram_Panchayat_Code,Gram_Panchayat,Organisational_District
4,Bardhaman & Birbhum,306,Purba Bardhaman,2809,Kanksa,39,Bardhaman-Durgapur,274,Galsi,108599,Bidbehar,Purba Bardhman
4,Bardhaman & Birbhum,306,Purba Bardhaman,2809,Kanksa,39,Bardhaman-Durgapur,274,Galsi,108603,Trilokchandrapur,Purba Bardhman
4,Bardhaman & Birbhum,306,Purba Bardhaman,2804,Galsi-Ii,39,Bardhaman-Durgapur,274,Galsi,108553,Kurkuba,Purba Bardhman
4,Bardhaman & Birbhum,306,Purba Bardhaman,2804,Galsi-Ii,39,Bardhaman-Durgapur,274,Galsi,108550,Galsi,Purba Bardhman
4,Bardhaman & Birbhum,306,Purba Bardhaman,2816,Manteswar,39,Bardhaman-Durgapur,263,Manteswar,108664,Kusumgram,Purba Bardhman
4,Bardhaman & Birbhum,306,Purba Bardhaman,2816,Manteswar,39,Bardhaman-Durgapur,263,Manteswar,108663,Jamna,Purba Bardhman
4,Bardhaman & Birbhum,306,Purba Bardhaman,2816,Manteswar,39,Bardhaman-Durgapur,263,Manteswar,108660,Baghsan,Purba Bardhman
4,Bardhaman & Birbhum,306,Purba Bardhaman,2816,Manteswar,39,Bardhaman-Durgapur,263,Manteswar,108669,Pipalan,Purba Bardhman
4,Bardhaman & Birbhum,306,Purba Bardhaman,2816,Manteswar,39,Bardhaman-Durgapur,263,Manteswar,108666,Mamudpur-I,Purba Bardhman
4,Bardhaman & Birbhum,306,Purba Bardhaman,2816,Manteswar,39,Bardhaman-Durgapur,263,Manteswar,108671,Shushunia,Purba Bardhman
4,Bardhaman & Birbhum,306,Purba Bardhaman,2816,Manteswar,39,Bardhaman-Durgapur,263,Manteswar,108665,Majhergram,Purba Bardhman
4,Bardhaman & Birbhum,306,Purba Bardhaman,2816,Manteswar,39,Bardhaman-Durgapur,263,Manteswar,108672,Vagramulgram,Purba Bardhman
4,Bardhaman & Birbhum,306,Purba Bardhaman,2816,Manteswar,39,Bardhaman-Durgapur,263,Manteswar,108668,Manteswar,Purba Bardhman
4,Bardhaman & Birbhum,306,Purba Bardhaman,2816,Manteswar,39,Bardhaman-Durgapur,263,Manteswar,108662,Denur,Purba Bardhman
4,Bardhaman & Birbhum,306,Purba Bardhaman,2818,Memari-Ii,39,Bardhaman-Durgapur,263,Manteswar,108690,Satgachhia-I,Purba Bardhman
4,Bardhaman & Birbhum,306,Purba Bardhaman,2818,Memari-Ii,39,Bardhaman-Durgapur,263,Manteswar,108686,Bijur-Ii,Purba Bardhman
4,Bardhaman & Birbhum,306,Purba Bardhaman,2818,Memari-Ii,39,Bardhaman-Durgapur,263,Manteswar,108683,Barapalasan-I,Purba Bardhman
